"message_from","message_date"
"isa97","2010-01-22 12:57:10"
"maarnieee","2010-01-22 12:57:09"
"Ed","2010-01-22 12:57:09"
"GlamGodSRocky","2010-01-22 12:57:08"
"spiraluptoday","2010-01-22 12:57:07"
"oddimperfect","2010-01-22 12:57:07"
"virtualana1","2010-01-22 12:57:05"
"UWSRQ","2010-01-22 12:57:04"
"QuakeInHaiti","2010-01-22 12:57:04"
"Cisco_Mobile","2010-01-22 12:57:03"
"isa97","2010-01-22 12:56:57"
"worldbanknews","2010-01-22 12:56:56"
"Snowplayaa","2010-01-22 12:56:51"
"PeterVanDartel","2010-01-22 12:56:51"
"Ziggy_Susan","2010-01-22 12:56:50"
"Suzanne_Dawson","2010-01-22 12:56:50"
"dcampell","2010-01-22 12:56:48"
"jorr2006","2010-01-22 12:56:45"
"gossi","2010-01-22 12:56:44"
"everhartmuseum","2010-01-22 12:56:43"
"fmontes","2010-01-22 12:56:43"
"franceonu","2010-01-22 12:56:37"
"LiteracyBridge","2010-01-22 12:56:35"
"QuakeInHaiti","2010-01-22 12:55:16"
"QuakeInHaiti","2010-01-22 12:53:31"
"QuakeInHaiti","2010-01-22 12:51:20"
"QuakeInHaiti","2010-01-22 12:49:40"
"QuakeInHaiti","2010-01-22 12:48:01"
"QuakeInHaiti","2010-01-22 12:46:14"
"QuakeInHaiti","2010-01-22 12:44:49"
"thehapacalypse","2010-01-22 12:44:41"
"hopeforhaiti","2010-01-22 12:44:08"
"QuakeInHaiti","2010-01-22 12:43:02"
"hopeforhaiti","2010-01-22 12:42:00"
"QuakeInHaiti","2010-01-22 12:41:16"
"larmes_aux_yeux","2010-01-22 12:40:03"
"JeNero","2010-01-22 12:38:53"
"QuakeInHaiti","2010-01-22 12:38:51"
"latimes","2010-01-22 12:38:10"
"QuakeInHaiti","2010-01-22 12:36:36"
"QuakeInHaiti","2010-01-22 12:34:59"
"kanakob","2010-01-22 12:34:34"
"VergeofLA","2010-01-22 12:34:31"
"QuakeInHaiti","2010-01-22 12:33:07"
"latimesphotos","2010-01-22 12:31:42"
"QuakeInHaiti","2010-01-22 12:31:19"
"QuakeInHaiti","2010-01-22 12:29:40"
"AlbanyBID","2010-01-22 12:29:32"
"6c4","2010-01-22 12:29:31"
"RaeIamHer","2010-01-22 12:29:30"
"amfan_jenny","2010-01-22 12:29:30"
"Rob_Madden","2010-01-22 12:29:29"
"DarkStitch","2010-01-22 12:29:28"
"chadsirc","2010-01-22 12:29:28"
"LauraEKaufman","2010-01-22 12:29:27"
"lais_amy","2010-01-22 12:29:24"
"chinaadventures","2010-01-22 12:29:20"
"timradioboy","2010-01-22 12:29:16"
"ericverlo","2010-01-22 12:29:11"
"GoodTwitty","2010-01-22 12:29:09"
"luccastera","2010-01-22 12:29:08"
"ohmylands","2010-01-22 12:29:07"
"twintell2","2010-01-22 12:29:07"
"omgnother","2010-01-22 12:29:07"
"kthalps","2010-01-22 12:29:06"
"patrickwatts","2010-01-22 12:28:59"
"tamaracharmed","2010-01-22 12:28:57"
"EmergCommNetwrk","2010-01-22 12:28:57"
"QcprieQcprays","2010-01-22 12:28:56"
"1WarriorPrincss","2010-01-22 12:28:55"
"6c4","2010-01-22 12:28:55"
"LumiCelestial","2010-01-22 12:28:53"
"Keepin_It_Tight","2010-01-22 12:28:52"
"FranceGlobal","2010-01-22 12:28:52"
"christyjo74","2010-01-22 12:28:49"
"ocicat_bengals","2010-01-22 12:28:47"
"Rodrigorss1","2010-01-22 12:28:39"
"catenabi","2010-01-22 12:28:39"
"NolandHoshino","2010-01-22 12:28:38"
"angieshayne","2010-01-22 12:28:37"
"fewpe","2010-01-22 12:28:37"
"highsockmojo","2010-01-22 12:28:36"
"ully_freitas","2010-01-22 12:28:35"
"ellyn32","2010-01-22 12:28:34"
"chadsirc","2010-01-22 12:28:32"
"RiotBoyer","2010-01-22 12:28:31"
"rnovoa","2010-01-22 12:28:31"
"SilviioCipriano","2010-01-22 12:28:31"
"velofemme","2010-01-22 12:28:25"
"epiccolorado","2010-01-22 12:28:25"
"GlobalSamaritan","2010-01-22 12:28:25"
"staiisea","2010-01-22 12:28:22"
"marcellam","2010-01-22 12:28:19"
"pewesky","2010-01-22 12:28:18"
"sydneywilliams","2010-01-22 12:28:18"
"SofiaGoncalves","2010-01-22 12:28:16"
"fitbet","2010-01-22 12:28:14"
"WorldVisionNews","2010-01-22 12:28:13"
"RACERJJJ","2010-01-22 12:28:13"
"carlinhahbf","2010-01-22 12:28:12"
"uruknet","2010-01-22 12:28:11"
"mijoko","2010-01-22 12:28:09"
"Ella_Henry","2010-01-22 12:28:03"
"SofiaGoncalves","2010-01-22 12:28:03"
"schlaf","2010-01-22 12:28:01"
"jrchristianson","2010-01-22 12:28:00"
"mimiandersen","2010-01-22 12:28:00"
"GlobalSamaritan","2010-01-22 12:27:59"
"QuakeInHaiti","2010-01-22 12:27:59"
"teeco71","2010-01-22 12:27:58"
"TruthBToldpoet","2010-01-22 12:27:58"
"KaciMaureen","2010-01-22 12:27:55"
"kerilewisbrown","2010-01-22 12:27:51"
"muscadine","2010-01-22 12:27:51"
"xquizofreniko","2010-01-22 12:27:47"
"Racheljohns16","2010-01-22 12:27:47"
"juhcavalcante","2010-01-22 12:27:45"
"santosbaby","2010-01-22 12:27:44"
"Isabberry","2010-01-22 12:27:41"
"MissionMANNA","2010-01-22 12:27:41"
"WSU_FeedHaiti","2010-01-22 12:27:34"
"AMSAngel","2010-01-22 12:27:34"
"suearambula","2010-01-22 12:27:33"
"ousiadasein","2010-01-22 12:27:33"
"revjen","2010-01-22 12:27:33"
"DustyFeet","2010-01-22 12:27:32"
"OKIRCOG","2010-01-22 12:27:28"
"paulinhovl92","2010-01-22 12:27:28"
"djej1","2010-01-22 12:27:23"
"mmfa","2010-01-22 12:27:21"
"J_Schiff","2010-01-22 12:27:20"
"khandelinn","2010-01-22 12:27:20"
"CheryLeroux","2010-01-22 12:27:19"
"DJWhiteHype","2010-01-22 12:27:17"
"jackecrestani","2010-01-22 12:27:17"
"ItsComeToThis","2010-01-22 12:27:17"
"aceboogie180","2010-01-22 12:27:16"
"BobSpitz","2010-01-22 12:27:15"
"1stnations","2010-01-22 12:27:14"
"GOLDfiveone","2010-01-22 12:27:13"
"Daryl_Woods","2010-01-22 12:27:12"
"benzerbib","2010-01-22 12:27:12"
"michisle","2010-01-22 12:27:08"
"Wind_Wizard","2010-01-22 12:27:06"
"epiccolorado","2010-01-22 12:27:06"
"hspiegler","2010-01-22 12:27:06"
"velofemme","2010-01-22 12:27:05"
"heLeN182oo9","2010-01-22 12:27:04"
"Rebecca_S","2010-01-22 12:27:04"
"kinaton","2010-01-22 12:27:02"
"QuakeInHaiti","2010-01-22 12:25:56"
"QuakeInHaiti","2010-01-22 12:23:41"
"QuakeInHaiti","2010-01-22 12:21:42"
"QuakeInHaiti","2010-01-22 12:19:04"
"QuakeInHaiti","2010-01-22 12:17:11"
"QuakeInHaiti","2010-01-22 12:15:19"
"QuakeInHaiti","2010-01-22 12:13:11"
"QuakeInHaiti","2010-01-22 12:11:01"
"QuakeInHaiti","2010-01-22 12:08:59"
"QuakeInHaiti","2010-01-22 12:06:48"
"QuakeInHaiti","2010-01-22 12:04:41"
"bonitagraham","2010-01-22 12:02:45"
"iamonewithself","2010-01-22 12:02:44"
"QuakeInHaiti","2010-01-22 12:02:39"
"lilygirlblue","2010-01-22 12:02:38"
